Year,offense_code,Offense,Age,Count,Age Category,Genre
2016,ASR_ROB,Robbery,m_15,2834,15 year old,Male
2016,ASR_RPE,Rape,m_0_9,30,0 to 9 year old,Male
2016,ASR_SUS,Suspicion,f_16,4,16 year old,Female
2016,ASR_VAN,Vandalism,f_17,1203,17 year old,Female
2015,ASR_AST,Aggravated Assault,m_0_9,187,0 to 9 year old,Male
2015,ASR_DIS,Disorderly Conduct,f_10_12,1806,10 to 12 year old,Female
2015,ASR_DIS,Disorderly Conduct,f_16,4265,16 year old,Female
2015,ASR_DRG,Drug Abuse Violations,f_10_12,440,10 to 12 year old,Female
2015,ASR_EMB,Embezzlement,m_16,81,16 year old,Male
2015,ASR_SEX,Sex Offenses,f_16,165,16 year old,Female
2015,ASR_VAG,Vagrancy,f_15,56,15 year old,Female
2015,ASR_VAN,Vandalism,f_13_14,1628,13 or 14 year old,Female
2015,ASR_WEAP,Weapons,m_13_14,2978,13 or 14 year old,Male
2014,ASR_ARSON,Arson,m_0_9,128,0 to 9 year old,Male
2014,ASR_DIS,Disorderly Conduct,f_15,4905,15 year old,Female
2014,ASR_DRG,Drug Abuse Violations,m_17,30224,17 year old,Male
2014,ASR_DRK,Drunkenness,f_16,313,16 year old,Female
2014,ASR_DRK,Drunkenness,f_0_9,1,0 to 9 year old,Female
2014,ASR_EMB,Embezzlement,m_10_12,5,10 to 12 year old,Male
2014,ASR_EMB,Embezzlement,f_17,95,17 year old,Female
2014,ASR_FAM,Offenses Against the Family and Children,f_10_12,74,10 to 12 year old,Female
2014,ASR_FAM,Offenses Against the Family and Children,f_15,217,15 year old,Female
2014,ASR_HOM,Murder and Nonnegligent Homicide,f_16,21,16 year old,Female
2014,ASR_LIQ,Liquor Laws,m_17,13104,17 year old,Male
2014,ASR_OTH,All Other Offenses,m_16,27679,16 year old,Male
2014,ASR_ROB,Robbery,f_15,337,15 year old,Female
2008,ASR_RPE,Rape,m_10_12,222,10 to 12 year old,Male
2008,ASR_SEX,Sex Offenses,f_17,206,17 year old,Female
2008,ASR_SUS,Suspicion,m_17,42,17 year old,Male
2008,ASR_VAN,Vandalism,f_13_14,3358,13 or 14 year old,Female
2008,ASR_VAN,Vandalism,m_17,14914,17 year old,Male
2008,ASR_WEAP,Weapons,m_17,7938,17 year old,Male
2007,ASR_DIS,Disorderly Conduct,f_16,11096,16 year old,Female
2007,ASR_EMB,Embezzlement,f_0_9,3,0 to 9 year old,Female
2007,ASR_FOR,Forgery and Counterfeiting,m_16,404,16 year old,Male
2007,ASR_FRD,Fraud,f_16,519,16 year old,Female
2007,ASR_FRD,Fraud,f_17,925,17 year old,Female
2007,ASR_LRC,Larceny,m_15,26379,15 year old,Male
2007,ASR_MVT,Motor Vehicle Theft,f_15,946,15 year old,Female
2007,ASR_PRS,Prostitution and Commercialized Vice,m_10_12,10,10 to 12 year old,Male
2007,ASR_VAN,Vandalism,m_10_12,7783,10 to 12 year old,Male
2006,ASR_ARSON,Arson,m_17,529,17 year old,Male
2006,ASR_CUR,Curfew and Loitering Law Violations,f_16,9541,16 year old,Female
2006,ASR_DIS,Disorderly Conduct,f_10_12,4356,10 to 12 year old,Female
2006,ASR_DUI,Drive Under the Influence,m_16,2759,16 year old,Male
2006,ASR_FAM,Offenses Against the Family and Children,m_0_9,72,0 to 9 year old,Male
2006,ASR_GAM,Gambling,m_15,319,15 year old,Male
2006,ASR_LIQ,Liquor Laws,m_0_9,79,0 to 9 year old,Male
2006,ASR_MAN,Manslaughter by Negligence,m_15,12,15 year old,Male
2006,ASR_ROB,Robbery,f_13_14,594,13 or 14 year old,Female
2006,ASR_ROB,Robbery,m_13_14,4568,13 or 14 year old,Male
2006,ASR_RPE,Rape,f_16,13,16 year old,Female
2006,ASR_SEX,Sex Offenses,f_16,214,16 year old,Female
2006,ASR_SEX,Sex Offenses,m_15,1896,15 year old,Male
2006,ASR_VAG,Vagrancy,f_13_14,358,13 or 14 year old,Female
2006,ASR_VAN,Vandalism,f_17,2324,17 year old,Female
2005,ASR_AST,Aggravated Assault,f_15,2359,15 year old,Female
2005,ASR_BRG,Burglary,f_16,1408,16 year old,Female
2008,ASR_STP,Stolen Property,f_16,798,16 year old,Female
2008,ASR_VAG,Vagrancy,f_10_12,44,10 to 12 year old,Female
2008,ASR_WEAP,Weapons,m_0_9,364,0 to 9 year old,Male
2007,ASR_DRG,Drug Abuse Violations,m_16,35312,16 year old,Male
2007,ASR_FAM,Offenses Against the Family and Children,m_13_14,560,13 or 14 year old,Male
2007,ASR_FAM,Offenses Against the Family and Children,m_16,665,16 year old,Male
2007,ASR_HOM,Murder and Nonnegligent Homicide,f_16,17,16 year old,Female
2007,ASR_HOM,Murder and Nonnegligent Homicide,m_0_9,1,0 to 9 year old,Male
2007,ASR_MAN,Manslaughter by Negligence,m_15,8,15 year old,Male
2007,ASR_MVT,Motor Vehicle Theft,f_10_12,101,10 to 12 year old,Female
2007,ASR_SEX,Sex Offenses,f_0_9,31,0 to 9 year old,Female
2006,ASR_AST,Aggravated Assault,m_13_14,7920,13 or 14 year old,Male
2006,ASR_BRG,Burglary,m_16,13291,16 year old,Male
2006,ASR_DIS,Disorderly Conduct,m_13_14,28875,13 or 14 year old,Male
2006,ASR_DIS,Disorderly Conduct,f_0_9,217,0 to 9 year old,Female
2006,ASR_EMB,Embezzlement,f_15,11,15 year old,Female
2006,ASR_FOR,Forgery and Counterfeiting,m_16,477,16 year old,Male
2006,ASR_LIQ,Liquor Laws,f_0_9,36,0 to 9 year old,Female
2006,ASR_MVT,Motor Vehicle Theft,f_16,1070,16 year old,Female
2006,ASR_PRS,Prostitution and Commercialized Vice,f_17,370,17 year old,Female
2006,ASR_RPE,Rape,f_15,5,15 year old,Female
2006,ASR_RUN,Runaway,f_13_14,14014,13 or 14 year old,Female
2005,ASR_AST_SMP,Simple Assault,f_13_14,19835,13 or 14 year old,Female
2005,ASR_CUR,Curfew and Loitering Law Violations,f_10_12,1658,10 to 12 year old,Female
2005,ASR_CUR,Curfew and Loitering Law Violations,f_0_9,102,0 to 9 year old,Female
2005,ASR_DIS,Disorderly Conduct,f_15,11890,15 year old,Female
2005,ASR_DRG,Drug Abuse Violations,m_10_12,1900,10 to 12 year old,Male
2005,ASR_DRG,Drug Abuse Violations,f_15,4854,15 year old,Female
2005,ASR_DRK,Drunkenness,m_13_14,798,13 or 14 year old,Male
2005,ASR_DRK,Drunkenness,m_0_9,54,0 to 9 year old,Male
2005,ASR_DUI,Drive Under the Influence,m_13_14,112,13 or 14 year old,Male
2005,ASR_FAM,Offenses Against the Family and Children,m_13_14,585,13 or 14 year old,Male
2009,ASR_DRK,Drunkenness,f_15,555,15 year old,Female
2009,ASR_DUI,Drive Under the Influence,m_17,5893,17 year old,Male
2009,ASR_FOR,Forgery and Counterfeiting,m_13_14,125,13 or 14 year old,Male
2009,ASR_FOR,Forgery and Counterfeiting,f_0_9,3,0 to 9 year old,Female
2009,ASR_MVT,Motor Vehicle Theft,f_16,702,16 year old,Female
2009,ASR_STP,Stolen Property,f_10_12,121,10 to 12 year old,Female
2009,ASR_STP,Stolen Property,m_0_9,44,0 to 9 year old,Male
2009,ASR_WEAP,Weapons,f_13_14,806,13 or 14 year old,Female
2009,ASR_WEAP,Weapons,m_13_14,5019,13 or 14 year old,Male
2008,ASR_CUR,Curfew and Loitering Law Violations,f_0_9,99,0 to 9 year old,Female
2008,ASR_GAM,Gambling,f_16,4,16 year old,Female
2008,ASR_LRC,Larceny,m_10_12,10099,10 to 12 year old,Male
2008,ASR_LRC,Larceny,m_0_9,1106,0 to 9 year old,Male
2008,ASR_MVT,Motor Vehicle Theft,m_10_12,351,10 to 12 year old,Male
2005,ASR_MAN,Manslaughter by Negligence,m_10_12,2,10 to 12 year old,Male
2005,ASR_MAN,Manslaughter by Negligence,f_17,8,17 year old,Female
2005,ASR_SUS,Suspicion,f_13_14,29,13 or 14 year old,Female
2005,ASR_WEAP,Weapons,f_15,832,15 year old,Female
2004,ASR_AST_SMP,Simple Assault,f_10_12,6030,10 to 12 year old,Female
2004,ASR_BRG,Burglary,f_16,1575,16 year old,Female
2004,ASR_BRG,Burglary,f_15,1402,15 year old,Female
2004,ASR_CUR,Curfew and Loitering Law Violations,f_17,5625,17 year old,Female
2004,ASR_LRC,Larceny,m_17,31900,17 year old,Male
2004,ASR_OTH,All Other Offenses,f_17,17765,17 year old,Female
2004,ASR_PRS,Prostitution and Commercialized Vice,f_0_9,5,0 to 9 year old,Female
2004,ASR_RPE,Rape,f_16,14,16 year old,Female
2004,ASR_SEX,Sex Offenses,m_15,2074,15 year old,Male
2014,ASR_VAG,Vagrancy,m_13_14,123,13 or 14 year old,Male
2014,ASR_VAN,Vandalism,f_17,1247,17 year old,Female
2014,ASR_WEAP,Weapons,f_15,352,15 year old,Female
2014,ASR_WEAP,Weapons,m_0_9,276,0 to 9 year old,Male
2013,ASR_CUR,Curfew and Loitering Law Violations,f_0_9,59,0 to 9 year old,Female
2013,ASR_DIS,Disorderly Conduct,f_15,5775,15 year old,Female
2013,ASR_DRG,Drug Abuse Violations,f_13_14,3265,13 or 14 year old,Female
2013,ASR_DUI,Drive Under the Influence,m_16,1004,16 year old,Male
2013,ASR_DUI,Drive Under the Influence,m_15,191,15 year old,Male
2013,ASR_EMB,Embezzlement,f_17,73,17 year old,Female
2013,ASR_EMB,Embezzlement,m_15,19,15 year old,Male
2013,ASR_FAM,Offenses Against the Family and Children,f_0_9,12,0 to 9 year old,Female
2013,ASR_FRD,Fraud,m_15,370,15 year old,Male
2013,ASR_LIQ,Liquor Laws,f_17,18319,17 year old,Female
2013,ASR_MAN,Manslaughter by Negligence,m_16,6,16 year old,Male
2013,ASR_RUN,Runaway,m_15,5071,15 year old,Male
2013,ASR_SUS,Suspicion,f_10_12,8,10 to 12 year old,Female
2013,ASR_SUS,Suspicion,f_15,6,15 year old,Female
2012,ASR_ARSON,Arson,f_16,62,16 year old,Female
2012,ASR_AST_SMP,Simple Assault,m_16,18428,16 year old,Male
2012,ASR_OTH,All Other Offenses,m_0_9,987,0 to 9 year old,Male
2012,ASR_PRS,Prostitution and Commercialized Vice,f_17,244,17 year old,Female
2012,ASR_ROB,Robbery,m_15,3132,15 year old,Male
2012,ASR_SEX,Sex Offenses,m_13_14,3035,13 or 14 year old,Male
2012,ASR_STP,Stolen Property,m_10_12,298,10 to 12 year old,Male
2012,ASR_STP,Stolen Property,m_0_9,23,0 to 9 year old,Male
2012,ASR_VAN,Vandalism,m_17,8738,17 year old,Male
2012,ASR_WEAP,Weapons,m_10_12,1651,10 to 12 year old,Male
2011,ASR_ARSON,Arson,m_17,385,17 year old,Male
2011,ASR_BRG,Burglary,m_17,12724,17 year old,Male
2011,ASR_DRG,Drug Abuse Violations,f_0_9,20,0 to 9 year old,Female
2011,ASR_DUI,Drive Under the Influence,m_10_12,17,10 to 12 year old,Male
2011,ASR_EMB,Embezzlement,m_15,12,15 year old,Male
2011,ASR_HOM,Murder and Nonnegligent Homicide,m_16,157,16 year old,Male
2011,ASR_HOM,Murder and Nonnegligent Homicide,m_0_9,1,0 to 9 year old,Male
2011,ASR_LIQ,Liquor Laws,m_10_12,250,10 to 12 year old,Male
2011,ASR_MVT,Motor Vehicle Theft,f_13_14,377,13 or 14 year old,Female
2011,ASR_MVT,Motor Vehicle Theft,f_0_9,4,0 to 9 year old,Female
2011,ASR_OTH,All Other Offenses,f_13_14,12167,13 or 14 year old,Female
2004,ASR_VAN,Vandalism,m_15,11808,15 year old,Male
2003,ASR_AST,Aggravated Assault,m_0_9,529,0 to 9 year old,Male
2011,ASR_VAG,Vagrancy,f_17,46,17 year old,Female
2011,ASR_VAG,Vagrancy,m_16,298,16 year old,Male
2011,ASR_VAN,Vandalism,f_16,1580,16 year old,Female
2010,ASR_CUR,Curfew and Loitering Law Violations,m_16,15298,16 year old,Male
2010,ASR_DRK,Drunkenness,m_0_9,18,0 to 9 year old,Male
2010,ASR_EMB,Embezzlement,m_10_12,1,10 to 12 year old,Male
2010,ASR_GAM,Gambling,m_16,293,16 year old,Male
2010,ASR_LIQ,Liquor Laws,m_13_14,3520,13 or 14 year old,Male
2010,ASR_LRC,Larceny,m_13_14,26989,13 or 14 year old,Male
2010,ASR_SEX,Sex Offenses,m_15,1581,15 year old,Male
2010,ASR_STP,Stolen Property,m_0_9,41,0 to 9 year old,Male
2010,ASR_SUS,Suspicion,f_16,5,16 year old,Female
2009,ASR_BRG,Burglary,f_16,1605,16 year old,Female
2009,ASR_BRG,Burglary,m_17,15126,17 year old,Male
2009,ASR_DIS,Disorderly Conduct,m_16,20473,16 year old,Male
2009,ASR_DIS,Disorderly Conduct,m_0_9,658,0 to 9 year old,Male
2009,ASR_DRG,Drug Abuse Violations,m_0_9,127,0 to 9 year old,Male
2009,ASR_DRK,Drunkenness,m_10_12,51,10 to 12 year old,Male
2009,ASR_EMB,Embezzlement,f_17,135,17 year old,Female
2009,ASR_GAM,Gambling,m_13_14,148,13 or 14 year old,Male
2009,ASR_ROB,Robbery,m_0_9,31,0 to 9 year old,Male
2009,ASR_SEX,Sex Offenses,f_0_9,26,0 to 9 year old,Female
2009,ASR_STP,Stolen Property,f_13_14,586,13 or 14 year old,Female
2009,ASR_SUS,Suspicion,m_15,21,15 year old,Male
2009,ASR_VAG,Vagrancy,m_16,401,16 year old,Male
2009,ASR_VAN,Vandalism,f_13_14,2715,13 or 14 year old,Female
2008,ASR_AST,Aggravated Assault,f_10_12,682,10 to 12 year old,Female
2008,ASR_AST,Aggravated Assault,m_0_9,351,0 to 9 year old,Male
2008,ASR_BRG,Burglary,f_16,1868,16 year old,Female
2008,ASR_DIS,Disorderly Conduct,f_10_12,3583,10 to 12 year old,Female
2008,ASR_GAM,Gambling,m_13_14,164,13 or 14 year old,Male
2008,ASR_LIQ,Liquor Laws,m_13_14,4411,13 or 14 year old,Male
2008,ASR_LIQ,Liquor Laws,m_16,18424,16 year old,Male
2008,ASR_MAN,Manslaughter by Negligence,m_16,16,16 year old,Male
2016,ASR_BRG,Burglary,f_15,618,15 year old,Female
2016,ASR_DIS,Disorderly Conduct,f_15,4114,15 year old,Female
2016,ASR_DRK,Drunkenness,f_0_9,1,0 to 9 year old,Female
2016,ASR_FAM,Offenses Against the Family and Children,f_10_12,104,10 to 12 year old,Female
2016,ASR_FOR,Forgery and Counterfeiting,f_13_14,23,13 or 14 year old,Female
2016,ASR_GAM,Gambling,f_17,8,17 year old,Female
2016,ASR_LIQ,Liquor Laws,f_16,3322,16 year old,Female
2016,ASR_LIQ,Liquor Laws,m_15,2583,15 year old,Male
2016,ASR_MAN,Manslaughter by Negligence,m_17,21,17 year old,Male
2016,ASR_MVT,Motor Vehicle Theft,f_15,619,15 year old,Female
2016,ASR_OTH,All Other Offenses,f_10_12,1689,10 to 12 year old,Female
2016,ASR_OTH,All Other Offenses,m_16,22942,16 year old,Male
2016,ASR_SEX,Sex Offenses,m_16,964,16 year old,Male
2016,ASR_VAG,Vagrancy,f_16,46,16 year old,Female
2016,ASR_WEAP,Weapons,f_16,373,16 year old,Female
2016,ASR_WEAP,Weapons,f_15,302,15 year old,Female
2015,ASR_BRG,Burglary,f_17,981,17 year old,Female
2015,ASR_EMB,Embezzlement,m_17,160,17 year old,Male
2015,ASR_EMB,Embezzlement,m_15,11,15 year old,Male
2015,ASR_FOR,Forgery and Counterfeiting,m_17,338,17 year old,Male
2015,ASR_HOM,Murder and Nonnegligent Homicide,m_10_12,5,10 to 12 year old,Male
2015,ASR_LRC,Larceny,m_0_9,436,0 to 9 year old,Male
2015,ASR_MVT,Motor Vehicle Theft,m_10_12,218,10 to 12 year old,Male
2015,ASR_OTH,All Other Offenses,m_10_12,4216,10 to 12 year old,Male
2015,ASR_ROB,Robbery,f_16,405,16 year old,Female
2015,ASR_SEX,Sex Offenses,f_0_9,19,0 to 9 year old,Female
2015,ASR_VAN,Vandalism,m_0_9,509,0 to 9 year old,Male
2014,ASR_ARSON,Arson,f_17,43,17 year old,Female
2014,ASR_AST,Aggravated Assault,f_17,1387,17 year old,Female
2014,ASR_AST,Aggravated Assault,f_15,1244,15 year old,Female
2014,ASR_BRG,Burglary,f_10_12,237,10 to 12 year old,Female
2014,ASR_DIS,Disorderly Conduct,m_13_14,11246,13 or 14 year old,Male
2014,ASR_DIS,Disorderly Conduct,m_0_9,541,0 to 9 year old,Male
2014,ASR_DRG,Drug Abuse Violations,m_0_9,111,0 to 9 year old,Male
2014,ASR_DRK,Drunkenness,f_15,272,15 year old,Female
2014,ASR_DRK,Drunkenness,m_15,503,15 year old,Male
2014,ASR_DUI,Drive Under the Influence,m_17,2958,17 year old,Male
2014,ASR_FOR,Forgery and Counterfeiting,m_16,153,16 year old,Male
2014,ASR_LRC,Larceny,f_17,17834,17 year old,Female
2014,ASR_MVT,Motor Vehicle Theft,m_10_12,182,10 to 12 year old,Male
2014,ASR_OTH,All Other Offenses,f_17,10925,17 year old,Female
2014,ASR_PRS,Prostitution and Commercialized Vice,f_15,70,15 year old,Female
2014,ASR_VAG,Vagrancy,m_10_12,12,10 to 12 year old,Male
2014,ASR_VAG,Vagrancy,m_15,168,15 year old,Male
2013,ASR_AST_SMP,Simple Assault,m_13_14,20269,13 or 14 year old,Male
2013,ASR_AST_SMP,Simple Assault,m_17,16168,17 year old,Male
2013,ASR_BRG,Burglary,f_17,1143,17 year old,Female
2013,ASR_CUR,Curfew and Loitering Law Violations,m_10_12,2182,10 to 12 year old,Male
2013,ASR_DRG,Drug Abuse Violations,m_13_14,10758,13 or 14 year old,Male
2013,ASR_DRG,Drug Abuse Violations,f_17,6216,17 year old,Female
2013,ASR_GAM,Gambling,f_10_12,4,10 to 12 year old,Female
2013,ASR_HOM,Murder and Nonnegligent Homicide,m_13_14,48,13 or 14 year old,Male
2013,ASR_LRC,Larceny,m_13_14,20286,13 or 14 year old,Male
2013,ASR_OTH,All Other Offenses,m_13_14,30430,13 or 14 year old,Male
2013,ASR_STP,Stolen Property,m_17,2217,17 year old,Male
2013,ASR_VAN,Vandalism,f_13_14,1549,13 or 14 year old,Female
2013,ASR_VAN,Vandalism,m_17,7116,17 year old,Male
2012,ASR_BRG,Burglary,f_16,1177,16 year old,Female
2012,ASR_FAM,Offenses Against the Family and Children,f_15,216,15 year old,Female
2012,ASR_FRD,Fraud,f_13_14,182,13 or 14 year old,Female
2012,ASR_MAN,Manslaughter by Negligence,m_13_14,3,13 or 14 year old,Male
2012,ASR_RUN,Runaway,f_16,8085,16 year old,Female
2012,ASR_VAG,Vagrancy,m_16,234,16 year old,Male
2011,ASR_DRG,Drug Abuse Violations,f_13_14,3794,13 or 14 year old,Female
2011,ASR_FAM,Offenses Against the Family and Children,m_10_12,121,10 to 12 year old,Male
2011,ASR_GAM,Gambling,f_15,8,15 year old,Female
2002,ASR_VAG,Vagrancy,f_15,78,15 year old,Female
2002,ASR_WEAP,Weapons,f_16,582,16 year old,Female
2001,ASR_ARSON,Arson,f_16,100,16 year old,Female
2001,ASR_ARSON,Arson,f_0_9,53,0 to 9 year old,Female
2001,ASR_AST,Aggravated Assault,m_10_12,4127,10 to 12 year old,Male
2001,ASR_AST_SMP,Simple Assault,m_15,21762,15 year old,Male
2001,ASR_DIS,Disorderly Conduct,f_10_12,3802,10 to 12 year old,Female
2001,ASR_DRK,Drunkenness,m_16,2819,16 year old,Male
2001,ASR_EMB,Embezzlement,f_15,33,15 year old,Female
2001,ASR_FRD,Fraud,f_16,649,16 year old,Female
2001,ASR_LRC,Larceny,f_10_12,9922,10 to 12 year old,Female
2001,ASR_MVT,Motor Vehicle Theft,m_13_14,6210,13 or 14 year old,Male
2000,ASR_AST,Aggravated Assault,f_17,2579,17 year old,Female
2000,ASR_STP,Stolen Property,f_0_9,27,0 to 9 year old,Female
2000,ASR_VAN,Vandalism,f_0_9,298,0 to 9 year old,Female
2000,ASR_WEAP,Weapons,f_16,549,16 year old,Female
1999,ASR_ARSON,Arson,f_0_9,61,0 to 9 year old,Female
1999,ASR_AST_SMP,Simple Assault,m_0_9,3140,0 to 9 year old,Male
2001,ASR_RPE,Rape,m_15,564,15 year old,Male
2001,ASR_SEX,Sex Offenses,m_16,1914,16 year old,Male
2001,ASR_STP,Stolen Property,f_15,674,15 year old,Female
2001,ASR_VAG,Vagrancy,f_10_12,28,10 to 12 year old,Female
2001,ASR_VAG,Vagrancy,f_0_9,2,0 to 9 year old,Female
2001,ASR_VAG,Vagrancy,m_15,332,15 year old,Male
2000,ASR_ARSON,Arson,m_15,766,15 year old,Male
2000,ASR_BRG,Burglary,f_10_12,894,10 to 12 year old,Female
2000,ASR_BRG,Burglary,f_16,1464,16 year old,Female
2000,ASR_BRG,Burglary,f_15,1562,15 year old,Female
2000,ASR_CUR,Curfew and Loitering Law Violations,m_13_14,16141,13 or 14 year old,Male
2000,ASR_CUR,Curfew and Loitering Law Violations,m_15,16800,15 year old,Male
2000,ASR_GAM,Gambling,f_17,24,17 year old,Female
2000,ASR_MVT,Motor Vehicle Theft,f_13_14,1737,13 or 14 year old,Female
2000,ASR_ROB,Robbery,m_0_9,138,0 to 9 year old,Male
2000,ASR_SEX,Sex Offenses,m_10_12,1873,10 to 12 year old,Male
2000,ASR_VAG,Vagrancy,f_13_14,130,13 or 14 year old,Female
2000,ASR_VAG,Vagrancy,f_15,133,15 year old,Female
1997,ASR_VAN,Vandalism,m_17,16093,17 year old,Male
1996,ASR_CUR,Curfew and Loitering Law Violations,m_10_12,4183,10 to 12 year old,Male
1996,ASR_DIS,Disorderly Conduct,m_15,23954,15 year old,Male
1996,ASR_DUI,Drive Under the Influence,m_0_9,98,0 to 9 year old,Male
1996,ASR_GAM,Gambling,f_13_14,11,13 or 14 year old,Female
1996,ASR_PRS,Prostitution and Commercialized Vice,m_10_12,13,10 to 12 year old,Male
1996,ASR_PRS,Prostitution and Commercialized Vice,f_10_12,3,10 to 12 year old,Female
1996,ASR_ROB,Robbery,f_10_12,233,10 to 12 year old,Female
1996,ASR_SUS,Suspicion,m_13_14,254,13 or 14 year old,Male
1996,ASR_VAG,Vagrancy,m_15,494,15 year old,Male
1995,ASR_AST,Aggravated Assault,f_13_14,3864,13 or 14 year old,Female
1995,ASR_AST_SMP,Simple Assault,f_17,8100,17 year old,Female
1995,ASR_BRG,Burglary,m_17,19904,17 year old,Male
1995,ASR_DRG,Drug Abuse Violations,f_10_12,619,10 to 12 year old,Female
1995,ASR_DRG,Drug Abuse Violations,f_15,4075,15 year old,Female
1995,ASR_DRK,Drunkenness,f_13_14,542,13 or 14 year old,Female
1995,ASR_FAM,Offenses Against the Family and Children,m_16,810,16 year old,Male
1995,ASR_FOR,Forgery and Counterfeiting,m_15,622,15 year old,Male
1995,ASR_LRC,Larceny,m_17,50265,17 year old,Male
1995,ASR_LRC,Larceny,m_0_9,6889,0 to 9 year old,Male
1995,ASR_RPE,Rape,f_17,16,17 year old,Female
1995,ASR_RUN,Runaway,f_13_14,42694,13 or 14 year old,Female
1995,ASR_STP,Stolen Property,m_10_12,1454,10 to 12 year old,Male
1995,ASR_SUS,Suspicion,f_0_9,5,0 to 9 year old,Female
1995,ASR_VAG,Vagrancy,m_17,863,17 year old,Male
1994,ASR_GAM,Gambling,m_0_9,2,0 to 9 year old,Male
1994,ASR_LIQ,Liquor Laws,m_10_12,477,10 to 12 year old,Male
1994,ASR_LRC,Larceny,f_13_14,41839,13 or 14 year old,Female
1994,ASR_MAN,Manslaughter by Negligence,m_17,69,17 year old,Male
1994,ASR_VAN,Vandalism,f_15,2272,15 year old,Female
1999,ASR_CUR,Curfew and Loitering Law Violations,f_15,8539,15 year old,Female
1999,ASR_DIS,Disorderly Conduct,f_0_9,262,0 to 9 year old,Female
1999,ASR_DRG,Drug Abuse Violations,f_15,3820,15 year old,Female
1999,ASR_DRK,Drunkenness,m_16,2864,16 year old,Male
1999,ASR_EMB,Embezzlement,f_0_9,1,0 to 9 year old,Female
1999,ASR_MAN,Manslaughter by Negligence,m_0_9,1,0 to 9 year old,Male
1999,ASR_OTH,All Other Offenses,f_16,17710,16 year old,Female
1999,ASR_OTH,All Other Offenses,m_15,41273,15 year old,Male
1999,ASR_RUN,Runaway,f_15,16000,15 year old,Female
1999,ASR_WEAP,Weapons,m_13_14,6345,13 or 14 year old,Male
1998,ASR_AST,Aggravated Assault,f_10_12,925,10 to 12 year old,Female
1998,ASR_AST_SMP,Simple Assault,m_17,26229,17 year old,Male
1998,ASR_BRG,Burglary,m_17,17128,17 year old,Male
1998,ASR_BRG,Burglary,m_0_9,1778,0 to 9 year old,Male
1998,ASR_DIS,Disorderly Conduct,f_16,7768,16 year old,Female
