NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
PHOENIX ADVANTAGE CHARTER SCH,ARIZONA,AZ,,98,1,1551000,286000,1246000,19000,1548000,875000,687000
THE VILLAGE:HS FOR PREGNANT,ARIZONA,AZ,2,98,1,1378000,423000,955000,0,656000,339000,120000
CENTER FOR EDUCATIONAL EXCEL,ARIZONA,AZ,1,98,1,291000,0,291000,0,292000,177000,154000
EAGLE'S AERIE SCHOOLS,ARIZONA,AZ,,98,1,659000,0,656000,3000,741000,507000,355000
FOUNTAIN HILLS CHARTER SCHOOL,ARIZONA,AZ,1,98,1,405000,0,405000,0,420000,238000,164000
CALLI OLLIN ACADEMY,ARIZONA,AZ,2,98,1,344000,8000,336000,0,331000,151000,85000
HERMOSA MONTESSORI SCHOOLS,ARIZONA,AZ,1,98,1,457000,63000,394000,0,358000,191000,144000
CASA BLANCA MIDDLE SCHOOL,ARIZONA,AZ,1,98,1,508000,127000,381000,0,387000,204000,154000
TERRA ROSA CHARTER SCHOOL,ARIZONA,AZ,1,98,1,406000,21000,385000,0,371000,166000,131000
BAURAU CHARTER SCHOOLS,ARIZONA,AZ,3,98,1,492000,0,465000,27000,362000,208000,140000
ACCELERATED LEARNING CENTER,ARIZONA,AZ,,98,1,528000,0,528000,0,434000,267000,192000
ACCLAIM CHARTER SCHOOL,ARIZONA,AZ,,98,1,1207000,217000,975000,15000,825000,470000,372000
CAREER PATHWAYS,ARIZONA,AZ,,98,1,240000,0,240000,0,175000,90000,55000
GENESIS ACADEMY,ARIZONA,AZ,,98,1,547000,0,547000,0,493000,352000,183000
LUZ PREPATORY SCHOOL OF TUCSON,ARIZONA,AZ,,98,1,614000,63000,551000,0,583000,350000,204000
MONTESSORI SCHOOLHOUSE,ARIZONA,AZ,,98,1,142000,0,142000,0,133000,69000,53000
CHESTER-NEWTON CHARTER AND MONTESSORI SCHOOL,ARIZONA,AZ,,98,0,116000,19000,96000,0,123000,44000,28000
ENTERPRISE ACADEMY,ARIZONA,AZ,,98,0,396000,0,396000,0,760000,423000,248000
CRITTENTON YOUTH ACADEMY,ARIZONA,AZ,,98,0,128000,28000,101000,0,98000,52000,41000
APACHE TRAIL HIGH SCHOOL,ARIZONA,AZ,,98,0,4190000,390000,3799000,0,3179000,1345000,858000
NEW HORIZON SCHOOL FOR THE PERFORMING ARTS,ARIZONA,AZ,,98,0,231000,32000,200000,0,441000,278000,180000
RENAISSANCE EDUCATIONAL CONSORTIUM AND INC.,ARIZONA,AZ,,98,0,241000,0,241000,0,196000,85000,47000
S.A.G.E. (SCHOOL FOR THE ADVANCEMENT OF GIFTED EDUCATION),ARIZONA,AZ,,98,0,255000,0,255000,0,199000,119000,59000
JUMOKE CHARTER SCH DISTRICT,CONNECTICUT,CT,1,98,1,1083000,117000,949000,16000,1200000,640000,474000
ODYSSEY CHARTER SCH DISTRICT,CONNECTICUT,CT,1,98,1,415000,93000,264000,58000,592000,180000,146000
INTEGRATED DAY CHARTER SCH DIS,CONNECTICUT,CT,1,98,1,1310000,138000,1049000,123000,1780000,71000,381000
INTERDISTRICT CHARTER SCH DIST,CONNECTICUT,CT,1,98,1,338000,73000,252000,12000,328000,177000,155000
VILLAGE CHARTER SCH DISTRICT,CONNECTICUT,CT,1,98,1,616000,114000,492000,10000,750000,299000,54000
COMMON GROUND CHARTER SCH DIST,CONNECTICUT,CT,2,98,1,486000,89000,396000,1000,479000,273000,256000
BRIDGE CHARTER SCH DISTRICT,CONNECTICUT,CT,2,98,1,1130000,125000,972000,33000,1130000,567000,478000
SIDE BY SIDE CHARTER SCH DISTR,CONNECTICUT,CT,1,98,1,1120000,140000,931000,48000,1339000,705000,371000
ANCESTORS CHARTER SCH DISTRICT,CONNECTICUT,CT,2,98,1,566000,157000,402000,7000,568000,250000,156000
EXPLORATIONS CHARTER SCH DISTR,CONNECTICUT,CT,2,98,1,396000,64000,270000,62000,390000,192000,162000
CHARTER SCHOOL OF WILMINGTON,DELAWARE,DE,2,98,1,2651000,77000,1617000,957000,0,0,928000
CEDAR RIVERSIDE COMMUNITY SCHO,MINNESOTA,MN,3,98,1,810000,118000,659000,34000,742000,387000,325000
METRO DEAF SCHOOL,MINNESOTA,MN,1,98,1,757000,22000,195000,540000,837000,447000,393000
SKILLS FOR TOMORROW,MINNESOTA,MN,2,98,1,496000,64000,423000,9000,421000,231000,158000
NEW COUNTRY SCHOOL,MINNESOTA,MN,2,98,1,709000,90000,554000,65000,644000,1000,1000
PACT CHARTER SCHOOL,MINNESOTA,MN,3,98,1,1430000,61000,1277000,92000,1149000,694000,509000
MINNEAPOLIS COMM. LEARNING CNT,MINNESOTA,MN,1,98,1,176000,27000,145000,5000,243000,128000,90000
NEW VISIONS SCHOOL,MINNESOTA,MN,1,98,1,2034000,269000,1189000,577000,1998000,978000,806000
EMILY CHARTER SCHOOL,MINNESOTA,MN,1,98,1,862000,110000,514000,239000,810000,329000,218000
RIGHT STEP ACADEMY,MINNESOTA,MN,3,98,1,1705000,220000,1458000,27000,1586000,858000,546000
COMMUNITY OF PEACE ACADEMY,MINNESOTA,MN,1,98,1,1853000,215000,1507000,131000,1549000,832000,808000
WORLD LEARNER CHARTER SCHOOL,MINNESOTA,MN,1,98,1,328000,29000,219000,80000,365000,173000,148000
MINNESOTA TRANSITIONS CHARTER,MINNESOTA,MN,3,98,1,1082000,79000,960000,43000,875000,397000,336000
ACORN DUAL LANGUAGE COMM. ACAD,MINNESOTA,MN,1,98,1,1281000,183000,1070000,28000,977000,583000,512000
ST. PAUL FAMILY LEARNING CENTE,MINNESOTA,MN,3,98,1,1506000,165000,1279000,62000,1406000,318000,291000
EDISON CHARTER SCHOOL,MINNESOTA,MN,1,98,1,2934000,80000,2677000,177000,2677000,1592000,1127000
VILLAGE SCHOOL OF NORTHFIELD,MINNESOTA,MN,1,98,1,267000,13000,240000,14000,199000,125000,92000
CENTRAL MINNESOTA DEAF SCHOOL,MINNESOTA,MN,1,98,1,355000,60000,137000,158000,377000,137000,82000
SUCCESS ACADEMY,MINNESOTA,MN,1,98,1,1013000,53000,948000,12000,766000,199000,180000
SUMMIT SCHOOL FOR THE ARTS,MINNESOTA,MN,3,98,1,255000,100000,152000,3000,179000,77000,60000
CYBER VILLAGE ACADEMY,MINNESOTA,MN,,98,1,174000,60000,109000,6000,237000,70000,37000
E.C.H.O. CHARTER SCHOOL,MINNESOTA,MN,1,98,1,347000,56000,232000,59000,261000,115000,108000
HIGHER GROUND ACADEMY,MINNESOTA,MN,,98,1,40000,40000,0,0,9000,0,0
ECI' NOMPA WOONSPE,MINNESOTA,MN,,98,1,150000,0,141000,9000,124000,77000,75000
NEW SPIRIT SCHOOL,MINNESOTA,MN,,98,1,91000,82000,0,9000,70000,0,0
ODYSSEY CHARTER,MINNESOTA,MN,,98,0,7000,0,6000,0,6000,0,0
BLUFFVIEW MONTESSORI,MINNESOTA,MN,1,98,1,674000,23000,646000,5000,647000,342000,267000
CITY ACADEMY,MINNESOTA,MN,2,98,1,887000,147000,717000,23000,892000,388000,327000
NEW HEIGHTS,MINNESOTA,MN,3,98,1,762000,1000,700000,60000,765000,481000,335000
TOIVOLA-MEADOWLANDS CHARTER SC,MINNESOTA,MN,3,98,1,870000,94000,751000,25000,717000,403000,301000
LAKESIDE SCHOOL,NORTH CAROLINA,NC,,98,1,219000,46000,135000,39000,219000,161000,138000
GRANDFATHER ACADEMY,NORTH CAROLINA,NC,,98,1,328000,3000,191000,134000,328000,141000,127000
F DELANY NEW SCH FOR CHILDREN,NORTH CAROLINA,NC,,98,1,548000,15000,361000,172000,547000,279000,248000
NGUZO SABA CHARTER,NORTH CAROLINA,NC,,98,1,417000,0,222000,194000,417000,237000,145000
ENGELMANN SCH OF ART & SCIENCE,NORTH CAROLINA,NC,1,98,1,1070000,12000,693000,364000,1070000,204000,152000
CHATHAM CHARTER,NORTH CAROLINA,NC,1,98,1,549000,0,427000,122000,549000,259000,183000
THE LEARNING CENTER,NORTH CAROLINA,NC,1,98,1,407000,10000,303000,93000,407000,211000,150000
DURHAM COMMUNITY CHARTER,NORTH CAROLINA,NC,1,98,1,712000,8000,285000,419000,712000,225000,153000
HEALTHY START ACADEMY,NORTH CAROLINA,NC,,98,1,915000,17000,641000,257000,915000,497000,371000
LIFT ACADEMY,NORTH CAROLINA,NC,,98,1,1076000,1000,578000,497000,1060000,490000,305000
QUALITY EDUCATION ACADEMY,NORTH CAROLINA,NC,,98,1,312000,0,230000,82000,312000,100000,69000
DOWNTOWN MIDDLE,NORTH CAROLINA,NC,,98,1,1792000,21000,1268000,503000,1792000,1011000,815000
C G WOODSON SCH OF CHALLENGE,NORTH CAROLINA,NC,,98,1,933000,30000,681000,222000,933000,436000,361000
HIGHLAND KINDERGARTEN,NORTH CAROLINA,NC,1,98,1,384000,18000,178000,188000,384000,144000,95000
SUMMIT CHARTER,NORTH CAROLINA,NC,1,98,1,655000,0,475000,180000,654000,468000,368000
CHILDREN'S VILLAGE ACADEMY,NORTH CAROLINA,NC,1,98,1,640000,38000,405000,197000,639000,355000,244000
COMMUNITY CHARTER SCHOOL,NORTH CAROLINA,NC,1,98,1,338000,10000,261000,67000,338000,124000,85000
MAST SCHOOL,NORTH CAROLINA,NC,,98,1,380000,0,324000,56000,380000,201000,165000
CHARTER PUBLIC SCHOOL,NORTH CAROLINA,NC,1,98,1,2094000,0,1792000,302000,2094000,783000,634000
ORANGE COUNTY CHARTER,NORTH CAROLINA,NC,1,98,1,566000,0,552000,14000,566000,342000,255000
VILLAGE CHARTER,NORTH CAROLINA,NC,1,98,1,576000,0,415000,160000,576000,294000,216000
SCHOOL IN THE COMMUNITY,NORTH CAROLINA,NC,3,98,1,569000,0,352000,217000,569000,292000,180000
ARAPAHOE CHARTER,NORTH CAROLINA,NC,1,98,1,1356000,23000,1108000,225000,1356000,753000,549000
RIGHT STEP ACADEMY,NORTH CAROLINA,NC,,98,1,822000,46000,499000,277000,822000,460000,229000
CIS ACADEMY,NORTH CAROLINA,NC,,98,1,459000,31000,402000,26000,459000,249000,154000
BRIDGES,NORTH CAROLINA,NC,,98,1,492000,6000,395000,90000,492000,0,0
BONNER ACADEMY,NORTH CAROLINA,NC,3,98,1,263000,2000,201000,60000,263000,124000,121000
EXPLORIS,NORTH CAROLINA,NC,1,98,1,403000,0,181000,222000,403000,214000,192000
JOHN H BAKER JR HIGH,NORTH CAROLINA,NC,2,98,1,109000,0,78000,32000,109000,80000,71000
MAGELLAN CHARTER,NORTH CAROLINA,NC,1,98,1,1364000,0,1000000,364000,1364000,673000,591000
STERLING MONTESSORI ACADEMY,NORTH CAROLINA,NC,1,98,1,507000,0,395000,112000,507000,60000,51000
BRIGHT HORIZONS ACADEMY,NORTH CAROLINA,NC,1,98,1,420000,0,350000,70000,420000,232000,132000
UCAN,NORTH CAROLINA,NC,,98,1,436000,0,262000,174000,436000,150000,115000
SALLIE B HOWARD SCHOOL,NORTH CAROLINA,NC,1,98,1,1355000,65000,1064000,226000,1355000,336000,258000
KEYSTONE ED CTR CS,PENNSYLVANIA,PA,,98,1,1172000,24000,159000,989000,993000,570000,398000
CHESTER CO FAMILY ACAD PA CS,PENNSYLVANIA,PA,,98,1,357000,25000,27000,304000,240000,79000,67000
PHILA COMM ACAD A PA CS,PENNSYLVANIA,PA,,98,1,1204000,136000,61000,1007000,982000,530000,218000
CREATIVE EDUC CONCEPTS CS,PENNSYLVANIA,PA,,98,0,199000,171000,25000,3000,119000,23000,0
BLESSED SACRAMENT ACAD CHARTER,TEXAS,TX,2,98,1,835000,97000,622000,116000,691000,400000,201000
BUILDING ALTERNATIVE CHARTER,TEXAS,TX,2,98,1,516000,25000,489000,1000,693000,312000,112000
RENAISSANCE CHARTER SCHOOL,TEXAS,TX,2,98,1,3064000,16000,2873000,175000,3207000,1479000,1426000
DALLAS CAN ACADEMY CHARTER,TEXAS,TX,3,98,1,3135000,808000,2207000,120000,3176000,1881000,873000
MEDICAL CENTER CHARTER SCHOOL,TEXAS,TX,1,98,1,590000,62000,505000,23000,630000,152000,112000
SER-NINOS CHARTER SCHOOL,TEXAS,TX,1,98,1,1072000,138000,900000,34000,833000,464000,342000
WEST HOUSTON CHARTER SCHOOL,TEXAS,TX,2,98,1,645000,0,616000,29000,624000,376000,376000
GEORGE I SANCHEZ CHARTER,TEXAS,TX,2,98,1,2064000,388000,1666000,10000,2010000,1098000,562000
GIRLS & BOYS PREP ACADEMY,TEXAS,TX,3,98,1,1714000,155000,1459000,100000,1883000,1234000,801000
RAUL YZAGUIRRE SCHOOL FOR SUCC,TEXAS,TX,1,98,1,923000,77000,810000,36000,941000,492000,260000
WACO CHARTER SCHOOL,TEXAS,TX,1,98,1,677000,69000,593000,15000,714000,298000,224000
ACADEMY OF TRANSITIONAL STUDIE,TEXAS,TX,3,98,1,739000,0,739000,0,271000,195000,84000
SEASHORE LEARNING CENTER CHART,TEXAS,TX,1,98,1,487000,8000,439000,40000,416000,210000,152000
AMERICAN INSTITUTE FOR LEARNIN,TEXAS,TX,2,98,1,639000,0,639000,0,636000,477000,309000
TEXAS ACADEMY OF EXCELLENCE,TEXAS,TX,1,98,1,468000,60000,366000,43000,437000,253000,189000
PEGASUS CHARTER SCHOOL,TEXAS,TX,2,98,1,429000,50000,367000,11000,393000,195000,192000
THE NORTH HILLS SCHOOL,TEXAS,TX,1,98,1,754000,0,629000,125000,1079000,765000,643000
AUTAUGA CO SCH DIST,ALABAMA,AL,3,98,1,40814000,3119000,28365000,9330000,46454000,24452000,16654000
BALDWIN CO SCH DIST,ALABAMA,AL,3,98,1,127078000,7741000,69434000,49903000,138146000,70169000,48952000
BARBOUR CO SCH DIST,ALABAMA,AL,3,98,1,11194000,1681000,7836000,1677000,11522000,6454000,4347000
EUFAULA CTY SCH DIST,ALABAMA,AL,3,98,1,17583000,1555000,10587000,5441000,17613000,9560000,6932000
BIBB CO SCH DIST,ALABAMA,AL,3,98,1,19421000,2474000,13925000,3022000,19277000,11041000,7782000
BLOUNT CO SCH DIST,ALABAMA,AL,3,98,1,35192000,2446000,25051000,7695000,34360000,19279000,13268000
ONEONTA CITY SCH DIST,ALABAMA,AL,3,98,1,6819000,281000,4265000,2273000,8118000,3422000,2541000
BULLOCK CO SCH DIST,ALABAMA,AL,3,98,1,10523000,1927000,7371000,1225000,10241000,6154000,4056000
BUTLER CO SCH DIST,ALABAMA,AL,3,98,1,26517000,3331000,15317000,7869000,25929000,12687000,8633000
ANNISTON CTY SCH DST,ALABAMA,AL,3,98,1,20994000,2600000,12907000,5487000,20040000,11625000,7465000
CALHOUN CO SCH DIST,ALABAMA,AL,3,98,1,52828000,3683000,38008000,11137000,50928000,29721000,20188000
JACKSONVILLE CTY SCH DIST,ALABAMA,AL,3,98,1,8314000,729000,5933000,1652000,8774000,4820000,3557000
PIEDMONT CTY SCH DIST,ALABAMA,AL,3,98,1,5950000,482000,4405000,1063000,5698000,3550000,2564000
OXFORD CITY SCH DIST,ALABAMA,AL,3,98,1,19487000,908000,10301000,8278000,19458000,8891000,6565000
CHAMBERS CO SCH DIST,ALABAMA,AL,3,98,1,22934000,2467000,15207000,5260000,23037000,13680000,9199000
LANETT CTY SCH DIST,ALABAMA,AL,3,98,1,8112000,923000,5536000,1653000,8670000,5460000,3747000
CHEROKEE CO SCH DIST,ALABAMA,AL,3,98,1,20798000,1698000,13899000,5201000,21607000,11849000,8362000
CHILTON CO SCH DIST,ALABAMA,AL,3,98,1,32611000,2601000,23072000,6938000,32428000,18719000,13356000
CHOCTAW CO SCH DIST,ALABAMA,AL,3,98,1,14059000,1995000,9273000,2791000,14019000,8558000,5731000
CLARKE CO SCH DIST,ALABAMA,AL,3,98,1,21330000,2470000,14602000,4258000,20114000,12173000,8041000
THOMASVILLE CTY SCH DIST,ALABAMA,AL,3,98,1,11360000,757000,6022000,4581000,12508000,5040000,3788000
CLAY CO SCH DIST,ALABAMA,AL,3,98,1,13360000,1068000,9565000,2727000,14145000,8114000,5956000
CLEBURNE CO SCH DIST,ALABAMA,AL,3,98,1,12661000,1123000,9274000,2264000,12330000,7646000,5225000
COFFEE CO SCH DIST,ALABAMA,AL,3,98,1,11928000,1511000,7868000,2549000,11528000,6457000,4548000
ELBA CITY SCH DIST,ALABAMA,AL,3,98,1,5835000,630000,3860000,1345000,6070000,3745000,2580000
ENTERPRISE CTY SCH DIST,ALABAMA,AL,3,98,1,29020000,2034000,19151000,7835000,32739000,15706000,11007000
COLBERT CO SCH DIST,ALABAMA,AL,3,98,1,21256000,1652000,13103000,6501000,20501000,12778000,8551000
SHEFFIELD CITY SCH DIST,ALABAMA,AL,3,98,1,9400000,885000,5270000,3245000,9533000,5725000,3979000
TUSCUMBIA CITY SCH DIST,ALABAMA,AL,3,98,1,8896000,710000,5343000,2843000,9146000,5105000,3357000
MUSCLE SHOALS SCH DIST,ALABAMA,AL,3,98,1,18848000,1023000,7552000,10273000,18017000,8117000,5241000
CONECUH CO SCH DIST,ALABAMA,AL,3,98,1,12639000,1927000,8805000,1907000,12283000,7353000,5077000
COOSA CO SCH DIST,ALABAMA,AL,3,98,1,9465000,1025000,6957000,1483000,9719000,6033000,3993000
ANDALUSIA CTY SCH DIST,ALABAMA,AL,3,98,1,10444000,976000,6781000,2687000,9548000,6083000,4446000
COVINGTON CO SCH DIST,ALABAMA,AL,3,98,1,17862000,2092000,11913000,3857000,16368000,9961000,6610000
OPP CITY SCH DIST,ALABAMA,AL,3,98,1,8475000,772000,5597000,2106000,8687000,5016000,3699000
CRENSHAW CO SCH DIST,ALABAMA,AL,3,98,1,12713000,1468000,8840000,2405000,12692000,7520000,5431000
CULLMAN CITY SCH DIST,ALABAMA,AL,3,98,1,14850000,1520000,8791000,4539000,15635000,8525000,5870000
CULLMAN CO SCH DIST,ALABAMA,AL,3,98,1,51678000,5919000,34145000,11614000,52077000,27732000,19201000
DALE CO SCH DIST,ALABAMA,AL,3,98,1,15175000,1320000,9843000,4012000,14411000,9050000,5782000
OZARK CITY SCH DIST,ALABAMA,AL,3,98,1,17037000,1812000,11765000,3460000,16836000,10191000,7284000
DALEVILLE CTY SCH DIST,ALABAMA,AL,3,98,1,9204000,1278000,6405000,1521000,9097000,5485000,3739000
DALLAS CO SCH DIST,ALABAMA,AL,3,98,1,25971000,3868000,18217000,3886000,34292000,15279000,10251000
SELMA CITY SCH DIST,ALABAMA,AL,3,98,1,25052000,3927000,16653000,4472000,24398000,14766000,9756000
